passage,testament
"1CH 6:38","ot"
"1CH 6:39","ot"
"1CH 6:4","ot"
"1CH 6:40","ot"
"1CH 6:41","ot"
"1CH 6:42","ot"
"1CH 6:43","ot"
"1CH 6:44","ot"
"1CH 6:45","ot"
"1CH 6:46","ot"
"1CH 6:47","ot"
"1CH 6:48","ot"
"1CH 6:49","ot"
"1CH 6:5","ot"
"1CH 6:50","ot"
"1CH 6:51","ot"
"1CH 6:52","ot"
"1CH 6:53","ot"
"1CH 6:54","ot"
"1CH 6:55","ot"
"1CH 6:56","ot"
"1CH 6:57","ot"
"1CH 6:6","ot"
"1CH 6:60","ot"
"1CH 6:61","ot"
"1CH 6:62","ot"
"1CH 6:63","ot"
"1CH 6:64","ot"
"1CH 6:65","ot"
"1CH 6:66","ot"
"1CH 6:67","ot"
"1CH 6:7","ot"
"1CH 6:70","ot"
"1CH 6:71","ot"
"1CH 6:72","ot"
"1CH 6:74","ot"
"1CH 6:76","ot"
"1CH 6:77","ot"
"1CH 6:78","ot"
"1CH 6:8","ot"
"1CH 6:80","ot"
"1CH 6:9","ot"
"1CH 7:1","ot"
"1CH 7:10","ot"
"1CH 7:11","ot"
"1CH 7:12","ot"
"1CH 7:13","ot"
"1CH 7:14","ot"
"1CH 7:15","ot"
"1CH 7:16","ot"
"1CH 7:17","ot"
"1CH 7:18","ot"
"1CH 7:19","ot"
"1CH 7:2","ot"
"1CH 7:20","ot"
"1CH 7:21","ot"
"1CH 7:22","ot"
"1CH 7:23","ot"
"1CH 7:24","ot"
"1CH 7:25","ot"
"1CH 7:26","ot"
"1CH 7:27","ot"
"1CH 7:29","ot"
"1CH 7:3","ot"
"1CH 7:30","ot"
"1CH 7:31","ot"
"1CH 7:32","ot"
"1CH 7:33","ot"
"1CH 7:34","ot"
"1CH 7:35","ot"
"1CH 7:36","ot"
"1CH 7:37","ot"
"1CH 7:38","ot"
"1CH 7:39","ot"
"1CH 7:40","ot"
"1CH 7:5","ot"
"1CH 7:6","ot"
"1CH 7:7","ot"
"1CH 7:8","ot"
"1CH 8:1","ot"
"1CH 8:10","ot"
"1CH 8:11","ot"
"1CH 8:12","ot"
"1CH 8:13","ot"
"1CH 8:14","ot"
"1CH 8:15","ot"
"1CH 8:16","ot"
"1CH 8:17","ot"
"1CH 8:18","ot"
"1CH 8:19","ot"
"1CH 8:2","ot"
"1CH 8:20","ot"
"1CH 8:21","ot"
"1CH 8:22","ot"
"1CH 8:23","ot"
"1CH 8:24","ot"
"1CH 8:25","ot"
"1CH 8:26","ot"
"1CH 8:27","ot"
"1CH 8:29","ot"
"1CH 8:3","ot"
"1CH 8:30","ot"
"1CH 8:31","ot"
"1CH 8:32","ot"
"1CH 8:33","ot"
"1CH 8:34","ot"
"1CH 8:35","ot"
"1CH 8:36","ot"
"1CH 8:37","ot"
"1CH 8:38","ot"
"1CH 8:39","ot"
"1CH 8:4","ot"
"1CH 8:40","ot"
"1CH 8:5","ot"
"1CH 8:6","ot"
"1CH 8:7","ot"
"1CH 8:8","ot"
"1CH 8:9","ot"
"1CH 9:1","ot"
"1CH 9:10","ot"
"1CH 9:11","ot"
"1CH 9:12","ot"
"1CH 9:14","ot"
"1CH 9:15","ot"
"1CH 9:16","ot"
"1CH 9:17","ot"
"1CH 9:18","ot"
"1CH 9:19","ot"
"1CH 9:2","ot"
"1CH 9:20","ot"
"1CH 9:21","ot"
"1CH 9:22","ot"
"1CH 9:26","ot"
"1CH 9:3","ot"
"1CH 9:31","ot"
"1CH 9:32","ot"
"1CH 9:33","ot"
"1CH 9:34","ot"
"1CH 9:35","ot"
"1CH 9:36","ot"
"1CH 9:37","ot"
"1CH 9:38","ot"
"1CH 9:39","ot"
"1CH 9:4","ot"
"1CH 9:40","ot"
"1CH 9:41","ot"
"1CH 9:42","ot"
"1CH 9:43","ot"
"1CH 9:44","ot"
"1CH 9:5","ot"
"1CH 9:6","ot"
"1CH 9:7","ot"
"1CH 9:8","ot"
"1CO 1:1","nt"
"1CO 1:10","nt"
"1CO 1:11","nt"
"1CO 1:12","nt"
"1CO 1:13","nt"
"1CO 1:14","nt"
"1CO 1:16","nt"
"1CO 1:17","nt"
"1CO 1:2","nt"
"1CO 1:23","nt"
"1CO 1:24","nt"
"1CO 1:3","nt"
"1CO 1:30","nt"
"1CO 1:4","nt"
"1CO 1:6","nt"
"1CO 1:7","nt"
"1CO 1:8","nt"
"1CO 1:9","nt"
"1CO 10:16","nt"
"1CO 10:2","nt"
"1CO 10:4","nt"
"1CO 10:9","nt"
"1CO 11:1","nt"
"1CO 11:23","nt"
"1CO 11:3","nt"
"1CO 12:12","nt"
"1CO 12:27","nt"
"1CO 12:3","nt"
"1CO 15:12","nt"
"1CO 15:13","nt"
"1CO 15:14","nt"
"1CO 15:15","nt"
"1CO 15:16","nt"
"1CO 15:17","nt"
"1CO 15:18","nt"
"1CO 15:19","nt"
"1CO 15:20","nt"
"1CO 15:22","nt"
"1CO 15:23","nt"
"1CO 15:3","nt"
"1CO 15:31","nt"
"1CO 15:45","nt"
"1CO 15:5","nt"
"1CO 15:57","nt"
"1CO 15:7","nt"
"1CO 16:10","nt"
"1CO 16:12","nt"
"1CO 16:15","nt"
"1CO 16:17","nt"
"1CO 16:19","nt"
"1CO 16:21","nt"
"1CO 16:23","nt"
"1CO 16:24","nt"
"1CO 2:16","nt"
"1CO 2:2","nt"
"1CO 3:1","nt"
"1CO 3:11","nt"
"1CO 3:22","nt"
"1CO 3:23","nt"
"1CO 3:4","nt"
"1CO 3:5","nt"
"1CO 3:6","nt"
"1CO 3:6-9","nt"
"1CO 4:1","nt"
"1CO 4:10","nt"
"1CO 4:15","nt"
"1CO 4:17","nt"
"1CO 4:6","nt"
"1CO 5:4","nt"
"1CO 5:7","nt"
"1CO 6:11","nt"
"1CO 6:15","nt"
"1CO 7:22","nt"
"1CO 8:11","nt"
"1CO 8:12","nt"
"1CO 8:6","nt"
"1CO 9:1","nt"
"1CO 9:12","nt"
"1CO 9:21","nt"
"1CO 9:5","nt"
"1CO 9:6","nt"
"1CO 9:9","nt"
"1JN 1:3","nt"
"1JN 1:7","nt"
"1JN 2:1","nt"
"1JN 2:22","nt"
"1JN 3:12","nt"
"1JN 3:23","nt"
"1JN 4:15","nt"
"1JN 4:2","nt"
"1JN 4:3","nt"
"1JN 5:1","nt"
"1JN 5:20","nt"
"1JN 5:5","nt"
"1JN 5:6","nt"
"1KI 1:1","ot"
"1KI 1:10","ot"
"1KI 1:11","ot"
"1KI 1:12","ot"
"1KI 1:13","ot"
"1KI 1:15","ot"
"1KI 1:16","ot"
"1KI 1:17","ot"
"1KI 1:18","ot"
"1KI 1:19","ot"
"1KI 1:20","ot"
"1KI 1:21","ot"
"1KI 1:22","ot"
"1KI 1:23","ot"
"1KI 1:24","ot"
"1KI 1:25","ot"
"1KI 1:26","ot"
"1KI 1:28","ot"
"1KI 1:3","ot"
"1KI 1:30","ot"
"1KI 1:31","ot"
"1KI 1:32","ot"
"1KI 1:33","ot"
"1KI 1:34","ot"
"1KI 1:35","ot"
"1KI 1:36","ot"
"1KI 1:37","ot"
"1KI 1:38","ot"
"1KI 1:39","ot"
"1KI 1:41","ot"
"1KI 1:42","ot"
"1KI 1:43","ot"
"1KI 1:44","ot"
"1KI 1:45","ot"
"1KI 1:46","ot"
