person_id,canonical_chinese,canonical_greek,latinized,sex,status,identity_group,testament,nt_ref_count,ot_ref_count,bible_ref_count
"person-002346","毗土珥","","Pethuel","male","accepted","ot-idgrp-otc-2067","ot","0","1","1"
"person-002347","毗乌利太","","Peullethai","male","accepted","ot-idgrp-otc-2068","ot","0","1","1"
"person-002348","非各","","Phicol","male","accepted","ot-idgrp-otc-2069","ot","0","3","3"
"person-002349","非尼哈","","Phinehas","male","accepted","ot-idgrp-otc-2071","ot","0","7","7"
"person-002350","非尼哈","","Phinehas","male","accepted","ot-idgrp-otc-2072","ot","0","16","16"
"person-002351","非尼哈","","Phinehas","male","accepted","ot-idgrp-otc-2073","ot","0","1","1"
"person-002352","必达","","Pildash","male","accepted","ot-idgrp-otc-2074","ot","0","1","1"
"person-002353","毗利哈","","Pilha","male","accepted","ot-idgrp-otc-2075","ot","0","1","1"
"person-002354","毗勒太","","Piltai","male","accepted","ot-idgrp-otc-2076","ot","0","1","1"
"person-002355","比嫩","","Pinon","male","accepted","ot-idgrp-otc-2077","ot","0","2","2"
"person-002356","毗兰","","Piram","male","accepted","ot-idgrp-otc-2078","ot","0","1","1"
"person-002357","毗斯巴","","Pispa","male","accepted","ot-idgrp-otc-2079","ot","0","1","1"
"person-002358","毗敦","","Pithon","male","accepted","ot-idgrp-otc-2080","ot","0","2","2"
"person-002359","玻黑列·哈斯巴音","","Pochereth-hazzebaim","male","accepted","ot-idgrp-otc-2081","ot","0","2","2"
"person-002360","破拉他","","Poratha","male","accepted","ot-idgrp-otc-2082","ot","0","1","1"
"person-002361","波提乏","","Potiphar","male","accepted","ot-idgrp-otc-2083","ot","0","2","2"
"person-002362","波提非拉","","Potiphera","male","accepted","ot-idgrp-otc-2084","ot","0","3","3"
"person-002363","普阿","","Puah","female","accepted","ot-idgrp-otc-2085","ot","0","1","1"
"person-002364","普瓦","","Puah","male","accepted","ot-idgrp-otc-2086","ot","0","3","3"
"person-002365","普瓦","","Puah","male","accepted","ot-idgrp-otc-2087","ot","0","1","1"
"person-002366","普拉","","Purah","male","accepted","ot-idgrp-otc-2088","ot","0","2","2"
"person-002367","弗","","Put","male","accepted","ot-idgrp-otc-2089","ot","0","2","2"
"person-002368","普铁","","Putiel","male","accepted","ot-idgrp-otc-2090","ot","0","1","1"
"person-002369","拉玛","","Raamah","male","accepted","ot-idgrp-otc-2091","ot","0","2","2"
"person-002370","拉代","","Raddai","male","accepted","ot-idgrp-otc-2097","ot","0","1","1"
"person-002371","拉含","","Raham","male","accepted","ot-idgrp-otc-2099","ot","0","1","1"
"person-002372","利金","","Rakem","male","accepted","ot-idgrp-otc-2100","ot","0","1","1"
"person-002373","兰","","Ram","male","accepted","ot-idgrp-otc-2101","ot","0","2","2"
"person-002374","兰","","Ram","male","accepted","ot-idgrp-otc-2102","ot","0","1","1"
"person-002375","拉米","","Ramiah","male","accepted","ot-idgrp-otc-2104","ot","0","1","1"
