name_id,person_id,name_text,language,source_scope,status
"name-0262","nt-people-0104","Εὐοδία","en","canonical","accepted"
"name-0263","nt-people-0105","Eutychus","en","canonical","accepted"
"name-0264","nt-people-0105","Εὔτυχος","en","canonical","accepted"
"name-0265","nt-people-0106","Eve","en","canonical","accepted"
"name-0266","nt-people-0106","חַוָּה","en","canonical","pending"
"name-0267","nt-people-0106","Εὖα","grc","alias","accepted"
"name-0268","nt-people-0107","Felix","en","canonical","accepted"
"name-0269","nt-people-0107","Φῆλιξ","en","canonical","accepted"
"name-0270","nt-people-0108","Festus","en","canonical","accepted"
"name-0271","nt-people-0108","Φῆστος","en","canonical","accepted"
"name-0272","nt-people-0108","Πόρκιος","en","canonical","accepted"
"name-0273","nt-people-0109","Fortunatus","en","canonical","accepted"
"name-0274","nt-people-0109","Φορτουνᾶτος","en","canonical","accepted"
"name-0275","nt-people-0110","Gad","en","canonical","accepted"
"name-0276","nt-people-0110","גָּד","en","canonical","pending"
"name-0277","nt-people-0110","גָּדִי","en","canonical","pending"
"name-0278","nt-people-0110","Γάδ","grc","alias","accepted"
"name-0279","nt-people-0111","Gaius","en","canonical","accepted"
"name-0280","nt-people-0111","Γάϊος","en","canonical","accepted"
"name-0281","nt-people-0112","Gaius","en","canonical","accepted"
"name-0282","nt-people-0112","Γάϊος","en","canonical","accepted"
"name-0283","nt-people-0113","Gaius","en","canonical","accepted"
"name-0284","nt-people-0113","Γάϊος","en","canonical","accepted"
"name-0285","nt-people-0114","Gaius","en","canonical","accepted"
"name-0286","nt-people-0114","Γάϊος","en","canonical","accepted"
"name-0287","nt-people-0115","Gallio","en","canonical","accepted"
"name-0288","nt-people-0115","Γαλλίων","en","canonical","accepted"
"name-0289","nt-people-0116","Gamaliel","en","canonical","accepted"
"name-0290","nt-people-0116","Γαμαλιήλ","en","canonical","accepted"
"name-0291","nt-people-0117","Gideon","en","canonical","accepted"
"name-0292","nt-people-0117","גִּדְעוֹן","en","canonical","pending"
"name-0293","nt-people-0117","יְרֻבַּ֫עַל","en","canonical","pending"
"name-0294","nt-people-0117","יְרֻבֶּשֶׁת","en","canonical","pending"
"name-0295","nt-people-0117","Γεδεών","grc","alias","accepted"
"name-0296","nt-people-0118","Hagar","en","canonical","accepted"
"name-0297","nt-people-0118","הָגָר","en","canonical","pending"
"name-0298","nt-people-0118","Ἄγαρ","grc","alias","accepted"
"name-0299","nt-people-0119","Hamor","en","canonical","accepted"
"name-0300","nt-people-0119","חֲמוֹר","en","canonical","pending"
"name-0301","nt-people-0119","Ἐμμόρ","grc","alias","accepted"
"name-0302","nt-people-0120","Heli","en","canonical","accepted"
"name-0303","nt-people-0120","Ἡλί","en","canonical","accepted"
"name-0304","nt-people-0121","Hermes","en","canonical","accepted"
"name-0305","nt-people-0121","Ἑρμῆς","en","canonical","accepted"
"name-0306","nt-people-0121","Ἑρμᾶς","en","variant","accepted"
"name-0307","nt-people-0122","Hermas","en","canonical","accepted"
"name-0308","nt-people-0122","Ἑρμᾶς","en","canonical","accepted"
"name-0309","nt-people-0122","Ἑρμῆς","en","variant","accepted"
"name-0310","nt-people-0123","Hermogenes","en","canonical","accepted"
"name-0311","nt-people-0123","Ἑρμογένης","en","canonical","accepted"
"name-0312","nt-people-0124","Herod","en","canonical","accepted"
"name-0313","nt-people-0124","Ἡρώδης","en","canonical","accepted"
"name-0314","nt-people-0125","Herod","en","canonical","accepted"
"name-0315","nt-people-0125","Ἡρώδης","en","canonical","accepted"
"name-0316","nt-people-0126","Herod","en","canonical","accepted"
"name-0317","nt-people-0126","Ἡρώδης","en","canonical","accepted"
"name-0318","nt-people-0127","Herodias","en","canonical","accepted"
"name-0319","nt-people-0127","Ἡρωδιάς","en","canonical","accepted"
"name-0320","nt-people-0128","Herodion","en","canonical","accepted"
"name-0321","nt-people-0128","Ἡρωδίων","en","canonical","accepted"
