assertion_id,subject_person_id,object_person_id,relation_type,relation_subtype,direction,status,confidence,editorial_status
"asrt-0082","nt-people-0057","nt-people-0365","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0083","nt-people-0057","nt-people-0176","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0084","nt-people-0049","nt-people-0058","kinship","child","directed","inactive","0.8","pending"
"asrt-0085","nt-people-0061","nt-people-0303","kinship","parent","directed","inactive","0.8","pending"
"asrt-0086","nt-people-0061","nt-people-0292","kinship","parent","directed","inactive","0.8","pending"
"asrt-0087","nt-people-0261","nt-people-0061","kinship","child","directed","inactive","0.8","pending"
"asrt-0088","nt-people-0061","nt-people-0302","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0089","nt-people-0063","nt-people-0010","kinship","parent","directed","inactive","0.8","pending"
"asrt-0090","nt-people-0063","nt-people-0106","kinship","parent","directed","inactive","0.8","pending"
"asrt-0091","nt-people-0093","nt-people-0063","kinship","child","directed","inactive","0.8","pending"
"asrt-0092","nt-people-0063","nt-people-0002","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0093","nt-people-0063","nt-people-0316","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0094","nt-people-0064","nt-people-0042","kinship","parent","directed","inactive","0.8","pending"
"asrt-0095","nt-people-0319","nt-people-0064","kinship","child","directed","inactive","0.8","pending"
"asrt-0096","nt-people-0067","nt-people-0159","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0097","nt-people-0072","nt-people-0092","kinship","parent","directed","inactive","0.8","pending"
"asrt-0098","nt-people-0011","nt-people-0072","kinship","child","directed","inactive","0.8","pending"
"asrt-0099","nt-people-0077","nt-people-0155","kinship","parent","directed","inactive","0.8","pending"
"asrt-0100","nt-people-0251","nt-people-0077","kinship","child","directed","inactive","0.8","pending"
"asrt-0101","nt-people-0333","nt-people-0077","kinship","child","directed","inactive","0.8","pending"
"asrt-0102","nt-people-0342","nt-people-0077","kinship","child","directed","inactive","0.8","pending"
"asrt-0103","nt-people-0082","nt-people-0107","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0104","nt-people-0083","nt-people-0319","kinship","parent","directed","inactive","0.8","pending"
"asrt-0105","nt-people-0268","nt-people-0083","kinship","child","directed","inactive","0.8","pending"
"asrt-0106","nt-people-0084","nt-people-0090","kinship","parent","directed","inactive","0.8","pending"
"asrt-0107","nt-people-0230","nt-people-0084","kinship","child","directed","inactive","0.8","pending"
"asrt-0108","nt-people-0086","nt-people-0238","kinship","parent","directed","inactive","0.8","pending"
"asrt-0109","nt-people-0168","nt-people-0086","kinship","child","directed","inactive","0.8","pending"
"asrt-0110","nt-people-0086","nt-people-0006","kinship","parent","directed","inactive","0.8","pending"
